#This is the definitional data from Wikipedia for *training* Nonce2Vec.
#Each line consists of a word, followed by its definition. Slots (___)
#indicate where the word appears in the sentence.
#The data had been tokenised, with punctuation removed.

pride	___ is an inwardly directed emotion that carries two common meanings 
lighting	___ or illumination is the deliberate use of light to achieve a practical or aesthetic effect 
slang	___ consists of a lexicon of non standard words and phrases in a given language 
parlour	___ or parlor is a name used for a variety of different reception rooms and public spaces in different historical periods 
flax	 ___ also known as common ___ or linseed with the binomial name linum usitatissimum is a member of the genus linum in the family linaceae 
tripos	___ trivial portable operating system is a computer operating system 
charles	___ is a masculine given name from the french form ___ of a germanic name karl 
ain	___ arpitan en is a department named after the ___ river on the eastern edge of france 
fedex	___ corporation is an american global courier delivery services company headquartered in memphis tennessee 
donnelly	___ is an irish surname coming from the irish odonnghaile meaning male descendant of donnghal 
audi	___ ag is a german automobile manufacturer that designs engineers produces markets and distributes luxury automobiles 
ontology	___ is the philosophical study of the nature of being becoming existence or reality as well as the basic categories of being and their relations 
oa	 ___ is a fictional planet that lies at the center of the dc comics universe 
dictatorship	___ is a form of government where political authority is monopolized by a single person or political entity and exercised through various mechanisms to ensure the entity s power remains strong 
walking	___ also known as ambulation is one of the main gaits of locomotion among legged animals and is typically slower than running and other gaits 
roasting	___ is a cooking method that uses dry heat whether an open flame oven or other heat source 
blues	___ is a genre and musical form that originated in african american communities in the deep south of the united states around the end of the 19th century 
insurance	___ is the equitable transfer of the risk of a loss from one entity to another in exchange for payment 
sanitation	___ is the hygienic means of promoting health through prevention of human contact with the hazards of wastes as well as the treatment and proper disposal of sewage or wastewater 
inoculation	___ also known as variolation was a historical method for the prevention of smallpox by deliberate introduction into the skin of material from smallpox pustules 
west	___ is a noun adjective or adverb indicating direction or geography 
bermuda	___ also referred to in legal documents as the ___ or somers isles is a british overseas territory in the north atlantic ocean located off the east coast of north america 
graffiti	___ is writing or drawings that have been scribbled scratched or sprayed illicitly on a wall or other surface often in a public place 
ici	___ or ___ may mean ___ is also an abbreviation which may mean imperial chemical industries imperial chemical industries ___ was a british chemical company and was for much of its history the largest manufacturer in britain 
sturgeon	___ is the common name used for some 25 species of fish in the family acipenseridae including the genera acipenser huso scaphirhynchus and pseudoscaphirhynchus 
stilt	___ is a common name for several species of birds in the family recurvirostridae which also includes those known as avocets 
sydenham	___ is a suburban district of south east london in the london boroughs of lewisham bromley and southwark 
icq	___ is an instant messaging computer program that was first developed and popularized by the israeli company mirabilis 
monsoon	___ is traditionally defined as a seasonal reversing wind accompanied by corresponding changes in precipitation but is now used to describe seasonal changes in atmospheric circulation and precipitation associated with the asymmetric heating of land and sea 
patagonia	___ is a sparsely populated region located at the southern end of south america shared by argentina and chile 
coagulation	___ also known as clotting is the process by which blood changes from a liquid to a gel 
idolatry	___ is the worship of an idol or a physical object as a representation of a god 
jargon	___ technical terminology or term of art is the technical terminology or characteristic idiom of a special activity or group 
sed	___ stream editor is a unix utility that parses and transforms text using a simple compact programming language 
highbury	___ is a district in the london borough of islington 
wicca	___ is a modern pagan witchcraft religion 
punctuation	___ is the use of spacing conventional signs and certain typographical devices as aids to the understanding and correct reading both silently and aloud of handwritten and printed texts 
craps	___ is a dice game in which the players make wagers on the outcome of the roll or a series of rolls of a pair of dice 
porridge	___ also spelled porage porrige parritch etc is a dish made by boiling ground crushed or chopped cereal in water milk or both with optional flavourings usually served hot in a bowl or dish 
coldplay	___ are a british rock band formed in 1996 by lead vocalist chris martin and lead guitarist jonny buckland at university college london ucl 
adjudication	___ is the legal process by which an arbiter or judge reviews evidence and argumentation including legal reasoning set forth by opposing parties or litigants to come to a decision which determines rights and obligations between the parties involved 
october	___ is the tenth month of the year in the julian and gregorian calendars and one of seven months with a length of 31 days 
wantage	___ is a market town and civil parish in the vale of the white horse oxfordshire england 
poultry	___ are domesticated birds kept by humans for the eggs they produce their meat their feathers or sometimes as pets 
rust	___ is an iron oxide usually red oxide formed by the redox reaction of iron and oxygen in the presence of water or air moisture 
standardization	___ or standardisation is the process of developing and implementing technical standards 
amber	___ is fossilized tree resin not sap which has been appreciated for its color and natural beauty since neolithic times 
eurostar	___ is a high speed railway service connecting london with paris and brussels 
nebraska	___ is a state that lies in both the great plains and the midwestern united states 
carbon	___ from latin carbo coal is a chemical element with symbol c and atomic number 6 
leyton	___ is a district of east london and part of the london borough of waltham forest located 62 mi north east of charing cross in the united kingdom 
falconry	___ is the hunting of wild quarry in its natural state and habitat by means of a trained bird of prey 
worksop	___ is the largest town in the bassetlaw district of nottinghamshire england on the river ryton at the northern edge of sherwood forest 
shoreditch	___ is an inner city district in the historic east end of london and modern central london within the london borough of hackney lying immediately to the north of the city of london 
vbscript	___ visual basic scripting edition is an active scripting language developed by microsoft that is modeled on visual basic 
morality	___ from the latin moralitas manner character proper behavior is the differentiation of intentions decisions and actions between those that are good or right and those that are bad or wrong 
shetland	___ scottish gaelic sealtainn also called the ___ islands is a subarctic archipelago of scotland that lies north east of the island of great britain and forms part of the united kingdom 
monmouth	___ welsh trefynwy meaning town on the monnow is a traditional county town in ___ wales 
burgundy	___ french bourgogne is an administrative and historical region of east central france 
syntax	___ is linguistic structure above the word level most commonly dealing with how sentences are formed 
lille	___ dutch rijsel is a city in the north of france 
jurisdiction	___ from the latin ius meaning law and meaning to speak is the practical authority granted to a formally constituted legal body or to a political leader to deal with and make pronouncements on legal matters and by implication to administer justice within a defined area of responsibility 
initiation	___ is a rite of passage marking entrance or acceptance into a group or society 
esso	___ is an international trade name for exxonmobil and its related companies 
calais	 ___ traditionally dutch kales is a town and major ferry port in northern france in the department of pas de___ of which it is a sub prefecture 
sparc	___ from scalable processor architecture is a risc instruction set architecture isa developed by sun microsystems and introduced in mid1987 
johannesburg	___ also known as jozi joburg egoli and joeys and abbreviated as jhb is the largest city in south africa 
waveney	___ is a local government district in suffolk england named after the river ___ that forms its north west border 
formaldehyde	___ is a naturally occurring organic compound with the formula ch2o or hcho
feltham	___ is a suburban town in the london borough of hounslow west london 135 mi west south west of central london and 2 mi south of heathrow airport 
venus	___ is the second planet from the sun orbiting it every 2247 earth days 
truetype	___ is an outline font standard developed by apple and microsoft in the late 1980s as a competitor to adobe s type 1 fonts used in postscript 
resin	___ in the most specific meaning of the term is a hydrocarbon secretion of many plants particularly coniferous trees 
bodmin	___ cornish bosvena is a civil parish and major town in cornwall england united kingdom 
arbroath	___ or aberbrothock scottish gaelic is a former royal burgh and the largest town in the council area of angus in scotland and has a population of 22785 
wizardry	___ is a series of role playing video games developed by sir tech which were highly influential in the evolution of modern console and computer role playing games 
aspartame	___ apm or is an artificial non saccharide sweetener used as a sugar substitute in some foods and beverages 
nuneaton	___ is the largest town in the borough of ___ and bedworth and in the english county of warwickshire 
libido	___ and colloquially sex drive is a person s overall sexual drive or desire for sexual activity 
stuttering	___ alalia syllabaris also known as stammering alalia literalis or anarthria literalis is a speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds syllables words or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds 
spinach	___ spinacia oleracea is an edible flowering plant in the family of amaranthaceae 
musk	___ is a class of aromatic substances commonly used as base notes in perfumery 
croats	___ croatian hrvati are a nation and south slavic ethnic group at the crossroads of central europe southeast europe and the mediterranean 
metallica	___ is an american heavy metal band formed in los angeles california 
gift	___ internet file transfer ___ is a computer software daemon that allows several file sharing protocols to be used with a simple client having a graphical user interface gui 
headphones	___ or head phones in the early days of telephony and radio are a pair of small loudspeakers that are designed to be held in place close to a user s ears 
ordination	___ is the process by which individuals are consecrated that is set apart as clergy to perform various religious rites and ceremonies 
sugar	___ is the generalized name for sweet short chain soluble carbohydrates many of which are used in food 
borneo	___ is the third largest island in the world and the largest island of asia 
fear	 ___ is an emotion induced by a threat perceived by living entities which causes a change in brain and organ function and ultimately a change in behavior such as running away hiding or freezing from traumatic events 
august	___ is the eighth month of the year between july and september in the julian and gregorian calendars and one of seven months with a length of 31 days 
cormac	___ is a masculine given name in the irish and english languages 
lewes	___ is the county town of the administrative county of east sussex england and historically of all of sussex 
telephony	___ is the field of technology involving the development application and deployment of telecommunication services for the purpose of electronic transmission of voice fax or data between distant parties 
braunston	___ is a village and civil parish in the county of northamptonshire england 
reason	___ is the capacity for consciously making sense of things applying logic establishing and verifying facts and changing or justifying practices institutions and beliefs based on new or existing information 
curling	___ is a sport in which players slide stones on a sheet of ice towards a target area which is segmented into four concentric circles 
devolution	___ is the statutory granting of powers from the central government of a sovereign state to government at a subnational level such as a regional local or state level 
alchemy	___ is an influential tradition whose practitioners have from antiquity claimed it to be the precursor to profound powers 
runcorn	___ is an industrial town and cargo port in halton cheshire 
dover	___ french douvres is a town and major ferry port in the home county of kent in south east england 
anthropology	___ is the scientific study of humans past and present that draws and builds upon knowledge from the social sciences life sciences and humanities 
whitechapel	___ is a district in east london england in the london borough of tower hamlets 
haworth	___ is a historic village in the ___ cross roads and stanbury civil parish and the city of bradford metropolitan borough of west yorkshire england 
navigation	___ is a field of study that focuses on the process of monitoring and controlling the movement of a craft or vehicle from one place to another 
war	___ is a state of armed conflict between autonomous organizations such as states and non state actors or coalitions of such organizations 
cadw	___ welsh to keepto protect is the historic environment service of the welsh government part of the housing regeneration and heritage department 
conception	___ or a concept is an abstract idea or a mental symbol 
airedale	___ is a geographic area in yorkshire england corresponding to the river valley of the river aire pronounced air 
evesham	___ is a market town and a civil parish in the local authority district of wychavon in the county of worcestershire england with a population of 23576 according to the 2011 census 
hay	___ is grass legumes or other herbaceous plants that have been cut dried and stored for use as animal fodder particularly for grazing livestock such as cattle horses goats and sheep 
bonn	___ officially the federal city of ___ is a city on the banks of the rhine in the german state of north rhine westphalia with a population of 311287 within its administrative limits 
crystallography	 ___ is the experimental science of determining the arrangement of atoms in the crystalline solids see crystal structure 
cambridgeshire	___ or abbreviated cambs is an east anglian county in england bordering lincolnshire to the north norfolk to the north east suffolk to the east essex and hertfordshire to the south and bedfordshire and northamptonshire to the west 
aerospace	___ is the human effort in science engineering and business to fly in the atmosphere of earth aeronautics and surrounding space astronautics 
oldham	___ is a large town in greater manchester england 
cyan	 ___ or is a greenish blue color and is one of the three primary colors of the subtractive cmyk color model 
customs	___ is an authority or agency in a country responsible for collecting ___ duties and for controlling the flow of goods including animals transports personal effects and hazardous items into and out of a country 
montserrat	___ is a british overseas territory located in the caribbean 
stout	___ is a dark beer made using roasted malt or roasted barley hops water and yeast 
cher	___ born ___ sarkisian may 20 1946 is an american singer songwriter actress model fashion designer television host comedian dancer businesswoman philanthropist author film producer director and record producer 
hansard	___ is the traditional name of the transcripts of parliamentary debates in britain and many commonwealth countries 
dorset	___ or archaically ___ is a county in south west england on the english channel coast 
excellency	___ is an honorific style given to certain members of an organisation or state 
amputation	___ is the removal of a body extremity by trauma prolonged constriction or surgery 
crucifixion	___ is a form of slow and painful execution in which the victim is tied or nailed to a large wooden cross and left to hang until dead 
pyrotechnics	___ is the science of using materials capable of undergoing self contained and self sustained exothermic chemical reactions for the production of heat light gas smoke andor sound 
herring	___ are forage fish mostly belonging to the family clupeidae 
typesetting	___ is the composition of text by means of arranging physical types or the digital equivalents 
netscape	___ communications formerly known as ___ communications corporation and commonly known as ___ is an american computer services company best known for ___ navigator its web browser 
basf	___ se is the largest chemical producer in the world and is headquartered in ludwigshafen germany ___ originally stood for badische anilin und soda fabrik english baden aniline and soda factory 
ruislip	___ is a suburban area of northwest london centred on an old village in greater london and is part of the london borough of hillingdon 
motorola	___ inc was a multinational telecommunications company based in schaumburg illinois united states us 
recoil	___ often called knockback kickback or simply kick is the backward momentum of a gun when it is discharged 
pressure	___ symbol p or p is the force applied perpendicular to the surface of an object per unit area over which that force is distributed 
alabama	___ is a state located in the southeastern region of the united states 
minerva	___ etruscan menrva was the roman goddess of wisdom and sponsor of arts trade and strategy 
virginia	 ___ officially the commonwealth of ___ is a us state located in the south atlantic region of the united states 
opera	___ english plural ___ italian plural opere is an art form in which singers and musicians perform a dramatic work combining text called a libretto and musical score usually in a theatrical setting 
retinopathy	___ is due to persistent or acute damage to the retina of the eye 
column	___ or pillar in architecture and structural engineering is a structural element that transmits through compression the weight of the structure above to other structural elements below 
siemens	___ ag is a german multinational conglomerate company headquartered in berlin and munich 
poor	___ is an adjective related to a state of poverty low quality or pity 
folkestone	___ is a port town located on the english channel in kent south east england 
canola	___ refers to both an edible oil also known as ___ oil produced from the seed of any of several varieties of the rape plant and to those plants namely a cultivar of either rapeseed brassica napus l or field mustardturnip rape brassica rapa subsp oleifera syn b campestris l 
shaftesbury	 ___ is a town and civil parish in dorset england 
competition	 ___ in biology ecology and sociology is a contest between organisms animals individuals groups etc for territory a niche or nation of resources for resources and goods mates for prestige recognition awards or group or social status for more likes on their instagram selfie leadership 
agriculture	___ is the cultivation of animals plants fungi and other life forms for food fiber biofuel medicinals and other products used to sustain and enhance human life 
lowestoft	___ or is a town in the english county of suffolk 
ridicule	___ is a 1996 french film set in the 18th century at the decadent court of versailles where social status can rise and fall based on one s ability to mete out witty insults and avoid ___ oneself 
exploration	___ is the act of searching for the purpose of discovery of information or resources 
mathematica	___ is a computational software program used in many scientific engineering ___ and computing fields based on symbolic mathematics 
bermondsey	___ is a district in south london and a part of the london borough of southwark 
crux	___ located in the deep southern sky is the smallest yet one of the most distinctive of the 88 modern constellations 
nes	 ___ is an abbreviation for nintendo entertainment system an 8bit video game console released by nintendo in 1985 
terrestrial	___ refers to things related to land or the planet earth 
landing	___ is the last part of a flight where a flying animal aircraft or spacecraft returns to the ground 
tuberculosis	___ mtb or tb short for tubercle bacillus in the past also called phthisis phthisis pulmonalis or consumption is a widespread and in many cases fatal infectious disease caused by various strains of mycobacteria usually mycobacterium ___ 
taipei	___ literally means north of taiwan officially known as ___ city is the capital city and a special municipality of taiwan 
gloucester	___ is a city district and county town of ___ in the south west region of england 
chennai	___ also known as madras is the capital city of the indian state of tamil nadu 
fashion	___ is a popular style or practice especially in clothing footwear accessories makeup body piercing or furniture 
bingley	 ___ is a market town in the metropolitan borough of the city of bradford in west yorkshire england 
engraving	___ is the practice of incising a design onto a hard usually flat surface by cutting grooves into it 
torquay	___ is a seaside town in devon england part of the unitary authority area of torbay 
host	___ masculine and ___ feminine most often refer to a person responsible for guests at an event andor providing hospitality during it or to an event s presenter or master or mistress of ceremonies 
houston	___ is the most populous city in texas and the fourth most populous city in the united states 
irrigation	___ is the artificial application of water to the land or soil 
mackerel	___ is a common name applied to a number of different species of pelagic fish mostly but not exclusively from the family scombridae 
migraine	___ is a chronic neurological disease characterized by recurrent moderate to severe headaches often in association with a number of autonomic nervous system symptoms 
dopamine	___ contracted from 34dihydroxyphenethylamine is a hormone and neurotransmitter of the catecholamine and phenethylamine families that plays a number of important roles in the human brain and body 
conjunctivitis	___ also called pink eye in north america or madras eye in india is inflammation of the conjunctiva the outermost layer of the eye and the inner surface of the eyelids 
padstow	___ cornish lannwedhenek is a town civil parish and fishing port on the north coast of cornwall england united kingdom 
camouflage	 ___ is the use of any combination of materials coloration or illumination for concealment either by making animals or objects hard to see crypsis or by disguising them as something else mimesis 
fertilisation	___ or fertilization also known as conception fecundation and syngamy is the fusion of gametes to initiate the development of a new individual organism 
compost	___ or is organic matter that has been decomposed and recycled as a fertilizer and soil amendment 
theology	___ is the systematic and rational study of concepts of god and of the nature of religious ideas or the learned profession acquired by completing specialized training in religious studies usually at a university seminary or school of divinity 
permaculture	___ is a branch of ecological design ecological engineering environmental design construction and integrated water resources management that develops sustainable architecture regenerative and self maintained habitat and agricultural systems modeled from natural ecosystems 
moldova	___ officially the republic of ___ romanian republica ___ also known as moldavia is a landlocked country in eastern europe located between romania to its west and ukraine to its north east and south 
trespass	___ is an area of criminal law or tort law broadly divided into three groups ___ to the person ___ to chattels and ___ to land 
mirc	___ is an internet relay chat irc client for windows created in 1995 and developed by khaled mardam bey 
bexleyheath	___ is a suburban district of south east london england in the london borough of bexley 
torbay	___ is a borough in devon england administered by the unitary authority of ___ council 
brentford	___ is a town in west london england and part of the london borough of hounslow at the confluence of the river brent and the thames 8 mi west bysouthwest of charing cross 
brine	___ is a solution of salt usually sodium chloride in water 
gastroenterology	___ mesh heading is the branch of medicine focused on the digestive system and its disorders 
meditation	___ is a practice in which an individual trains the mind or induces a mode of consciousness either to realize some benefit or for the mind to simply acknowledge its content without becoming identified with that content or as an end in itself 
fulham	___ is an area in the london borough of hammersmith and ___ sw6 in southwest london 
trout	___ is the name for a number of species of freshwater fish belonging to the genera oncorhynchus salmo and salvelinus all of the subfamily salmoninae of the family salmonidae 
cognac	___ named after the town of ___ in france is a variety of brandy 
humiliation	___ is the abasement of pride which creates mortification or leads to a state of being humbled or reduced to lowliness or submission 
induction	___ is a feature for declaring an inductive type and a family of types that depends on the inductive type 
measurement	___ from old french mesurement is the assignment of numbers to objects or events 
bracken	___ pteridium is a genus of large coarse ferns in the family dennstaedtiaceae 
keighley	___ is a town and civil parish within the metropolitan borough of the city of bradford in west yorkshire england 
opium	___ poppy tears lachryma papaveris is the dried latex obtained from the ___ poppy papaver somniferum 
patchwork	___ or pieced work is a form of needlework that involves sewing together pieces of fabric into a larger design 
selenium	___ is a chemical element with symbol se and atomic number
fowl	___ are birds belonging to one of two biological orders namely the game___ or land___ galliformes and the water___ anseriformes 
columbus	___ is a latinized version of the italian surname colombo 
denmark	___ danish danmark is a country in northern europe 
nationality	___ is the legal relationship between a person and a country 
tights	___ are a kind of cloth garment most often sheathing the body from the waist to the toe tips with a tight fit hence the name 
ghent	___ dutch gent french gand is a city and a municipality located in the flemish region of belgium 
wymondham	___ is an historic market town and civil parish in the english county of norfolk 
conscription	___ or drafting is the compulsory enlistment of people in a national service most often a military service 
panzer	___ is a german language word that means either tank the military vehicle or armour 
walthamstow	___ or is a large suburban district of north east london england and the administrative headquarters of the london borough of waltham forest 
manufacturing	___ is the production of merchandise for use or sale using labour and machines tools chemical and biological processing or formulation 
trotskyism	___ is the theory of marxism as advocated by leon trotsky 
