mean_score_lv max_score_lv min_score_lv resp1 resp1v chimera comp word resp2 resp2v mean_score_l max_score_l min_score_l
4.1 5.8 2.4 4.3 1.269 piano_accordion piano harpsichord 3.1 1.375 3.7 4.3 3.1
2.1 2.2 2 3 1.414 piano_accordion piano trumpet 3.4 1.744 3.2 3.4 3
1.45 1.5 1.4 1.4 0.663 piano_accordion piano typewriter 1.6 1.02 1.5 1.6 1.4
1.1 1.2 1 1.3 0.64 piano_accordion piano penguin 1.1 0.3 1.2 1.3 1.1
1.05 1.1 1 1 0 piano_accordion piano olive 1.1 0.3 1.05 1.1 1
1.1 1.2 1 1.2 0.4 piano_accordion piano lettuce 1.2 0.6 1.2 1.2 1.2
4.45 6.4 2.5 6.5 0.5 plane_ship plane jet 3.3 1.616 4.9 6.5 3.3
3.15 5.2 1.1 2.4 1.2 plane_ship plane yacht 4.9 1.7 3.65 4.9 2.4
1.1 1.2 1 1.5 0.671 plane_ship plane hawk 1 0 1.25 1.5 1
1.3 1.5 1.1 1.5 1.025 plane_ship plane stork 1.1 0.3 1.3 1.5 1.1
1.05 1.1 1 1.3 0.458 plane_ship plane corkscrew 1.2 0.4 1.25 1.3 1.2
1.15 1.2 1.1 1.2 0.4 plane_ship plane nightgown 1 0 1.1 1.2 1
1.95 2 1.9 2.9 1.446 potato_turnip potato broccoli 2.9 1.868 2.9 2.9 2.9
2.3 2.4 2.2 3 1.414 potato_turnip potato onion 3.1 1.578 3.05 3.1 3
2.25 2.6 1.9 3.3 1.552 potato_turnip potato tomato 2.4 1.2 2.85 3.3 2.4
1.3 1.5 1.1 1.8 0.98 potato_turnip potato trout 1.6 0.917 1.7 1.8 1.6
3 3 3 2.6 1.356 potato_turnip potato cantaloupe 2 1 2.3 2.6 2
1 1 1 1.1 0.3 potato_turnip potato cork 1.3 0.9 1.2 1.3 1.1
2.6 4 1.2 2.2 1.327 refrigerator_closet refrigerator cupboard 4.1 2.427 3.15 4.1 2.2
1.4 1.7 1.1 1.4 0.663 refrigerator_closet refrigerator basement 1.9 1.044 1.65 1.9 1.4
1.2 1.4 1 2 1.265 refrigerator_closet refrigerator mixer 1.7 1.552 1.85 2 1.7
2.35 2.7 2 2.2 1.4 refrigerator_closet refrigerator dishwasher 1.5 0.806 1.85 2.2 1.5
1 1 1 1.3 0.458 refrigerator_closet refrigerator ladle 1.5 0.922 1.4 1.5 1.3
1.05 1.1 1 1.3 0.64 refrigerator_closet refrigerator boat 1.3 0.64 1.3 1.3 1.3
2.75 3 2.5 3.7 2.1 saxophone_harmonica saxophone clarinet 3.5 1.565 3.6 3.7 3.5
2.25 2.4 2.1 3 1.844 saxophone_harmonica saxophone harp 3.5 1.628 3.25 3.5 3
1 1 1 1.1 0.3 saxophone_harmonica saxophone buckle 1.3 0.64 1.2 1.3 1.1
1 1 1 1.1 0.3 saxophone_harmonica saxophone wrench 1 0 1.05 1.1 1
1.1 1.2 1 1.4 0.8 saxophone_harmonica saxophone urn 1.5 1.025 1.45 1.5 1.4
1.05 1.1 1 1 0 saxophone_harmonica saxophone mackerel 1.3 0.64 1.15 1.3 1
2.3 2.6 2 3 1.612 scarf_sweater scarf glove 3.5 1.204 3.25 3.5 3
2.4 2.9 1.9 2.5 1.204 scarf_sweater scarf robe 3.4 1.8 2.95 3.4 2.5
2.15 2.6 1.7 4 1.789 scarf_sweater scarf tie 2.7 1.616 3.35 4 2.7
1.05 1.1 1 1.8 0.872 scarf_sweater scarf swimsuit 2.3 1.005 2.05 2.3 1.8
1.4 1.5 1.3 2.8 1.166 scarf_sweater scarf nylons 2.3 1.005 2.55 2.8 2.3
1 1 1 1.3 0.64 scarf_sweater scarf spear 1.3 0.64 1.3 1.3 1.3
1.3 1.3 1.3 2.8 1.661 scooter_skateboard scooter cart 1.9 1.044 2.35 2.8 1.9
1.15 1.3 1 2.7 1.187 scooter_skateboard scooter jeep 1.6 0.917 2.15 2.7 1.6
1.4 1.7 1.1 1.9 1.044 scooter_skateboard scooter boat 1.4 0.49 1.65 1.9 1.4
1 1 1 4 2.145 scooter_skateboard scooter toy 3.3 2.002 3.65 4 3.3
1 1 1 1 0 scooter_skateboard scooter pencil 1 0 1 1 1
1 1 1 1 0 scooter_skateboard scooter tomato 1.1 0.3 1.05 1.1 1
1.85 2.2 1.5 2.1 1.513 toaster_microwave toaster pot 1.7 0.9 1.9 2.1 1.7
1.5 1.8 1.2 1.3 0.64 toaster_microwave toaster apron 1.7 1.187 1.5 1.7 1.3
2.05 2.7 1.4 2.3 1.418 toaster_microwave toaster kettle 2.4 1.281 2.35 2.4 2.3
1.3 1.6 1 1.9 0.943 toaster_microwave toaster tongs 1.8 1.249 1.85 1.9 1.8
1.05 1.1 1 1.1 0.3 toaster_microwave toaster cheetah 1.2 0.6 1.15 1.2 1.1
1.05 1.1 1 1.1 0.3 toaster_microwave toaster chipmunk 1.3 0.64 1.2 1.3 1.1
2.05 2.3 1.8 2.7 1.616 train_bus train jet 2.7 1.676 2.7 2.7 2.7
2.45 3.1 1.8 2.5 1.628 train_bus train taxi 2.9 1.758 2.7 2.9 2.5
2.45 2.7 2.2 1.9 1.044 train_bus train buggy 2.8 1.72 2.35 2.8 1.9
1.35 1.4 1.3 2.2 1.077 train_bus train submarine 2.1 0.831 2.15 2.2 2.1
1.6 1.9 1.3 1.4 0.49 train_bus train crane 1.4 0.917 1.4 1.4 1.4
1 1 1 1.2 0.4 train_bus train grasshopper 1 0 1.1 1.2 1
2.8 3.7 1.9 2.1 1.044 cannon_rifle cannon pistol 4.8 2.272 3.45 4.8 2.1
2.55 2.6 2.5 3.3 1.847 cannon_rifle cannon bomb 3.4 1.114 3.35 3.4 3.3
3.55 3.9 3.2 2.2 0.98 cannon_rifle cannon harpoon 2.9 1.446 2.55 2.9 2.2
1.2 1.2 1.2 1 0 cannon_rifle cannon trolley 1 0 1 1 1
1.15 1.3 1 1.2 0.4 cannon_rifle cannon lion 1.2 0.6 1.2 1.2 1.2
1.2 1.4 1 1.3 0.64 cannon_rifle cannon bagpipe 1.1 0.3 1.2 1.3 1.1
4.15 6.4 1.9 5.3 2.147 trouser_shirt trouser pants 3.2 1.47 4.25 5.3 3.2
1.6 2 1.2 2.5 1.118 trouser_shirt trouser shawl 3.3 1.616 2.9 3.3 2.5
2.55 3.2 1.9 2.2 1.249 trouser_shirt trouser cape 2.8 1.47 2.5 2.8 2.2
1.2 1.3 1.1 1.6 0.8 trouser_shirt trouser curtain 1.4 0.917 1.5 1.6 1.4
3.9 4 3.8 3.6 1.428 trouser_shirt trouser pajama 3.1 1.3 3.35 3.6 3.1
1.15 1.3 1 1 0 trouser_shirt trouser cart 1.3 0.9 1.15 1.3 1
2.55 2.9 2.2 3.7 1.792 violin_flute violin harp 2.7 1.345 3.2 3.7 2.7
2.05 2.2 1.9 2.8 1.72 violin_flute violin drum 2.7 1.005 2.75 2.8 2.7
1 1 1 1 0 violin_flute violin racquet 1.5 1.025 1.25 1.5 1
1.05 1.1 1 1.1 0.3 violin_flute violin colander 1.2 0.6 1.15 1.2 1.1
1.15 1.2 1.1 1.2 0.6 violin_flute violin rocket 1.2 0.4 1.2 1.2 1.2
1.05 1.1 1 1 0 violin_flute violin radish 1.4 0.8 1.2 1.4 1
1.2 1.3 1.1 2.1 1.3 car_van car skateboard 1.3 0.64 1.7 2.1 1.3
6.05 7 5.1 5.2 1.661 car_van car jeep 5 1.549 5.1 5.2 5
2.35 2.5 2.2 3.7 1.792 car_van car train 2.7 1.847 3.2 3.7 2.7
1.05 1.1 1 1.2 0.6 car_van car fridge 1.3 0.9 1.25 1.3 1.2
1.05 1.1 1 1.3 0.458 car_van car shed 1.3 0.64 1.3 1.3 1.3
1 1 1 1.1 0.3 car_van car parakeet 1.5 1.025 1.3 1.5 1.1
2.45 2.7 2.2 2.4 1.114 caterpillar_cockroach caterpillar beetle 3.4 1.96 2.9 3.4 2.4
2.85 3.4 2.3 3.4 1.562 caterpillar_cockroach caterpillar grasshopper 3.2 1.661 3.3 3.4 3.2
2.2 2.6 1.8 2.7 1.418 caterpillar_cockroach caterpillar spider 3.9 1.221 3.3 3.9 2.7
1.2 1.4 1 1.3 0.9 caterpillar_cockroach caterpillar shack 1.1 0.3 1.2 1.3 1.1
1.8 1.8 1.8 1.7 0.64 caterpillar_cockroach caterpillar porcupine 1.9 0.943 1.8 1.9 1.7
1.45 1.9 1 1.6 0.8 caterpillar_cockroach caterpillar crane 1.5 0.671 1.55 1.6 1.5
1.8 1.9 1.7 3 1.265 cello_bagpipe cello harmonica 2.5 1.118 2.75 3 2.5
1.75 2 1.5 3 1.844 cello_bagpipe cello drum 2.1 1.3 2.55 3 2.1
1.1 1.2 1 1.3 0.64 cello_bagpipe cello racquet 1.1 0.3 1.2 1.3 1.1
1.15 1.2 1.1 1.4 0.8 cello_bagpipe cello cabin 1.1 0.3 1.25 1.4 1.1
1 1 1 1.1 0.3 cello_bagpipe cello house 1.2 0.4 1.15 1.2 1.1
1 1 1 1.5 1.025 cello_bagpipe cello bolt 1.1 0.3 1.3 1.5 1.1
2.6 2.7 2.5 3.5 1.118 clarinet_trombone clarinet banjo 2.2 0.98 2.85 3.5 2.2
1 1 1 1 0 clarinet_trombone clarinet gorilla 1.3 0.64 1.15 1.3 1
1.6 1.7 1.5 2.6 1.428 clarinet_trombone clarinet whistle 3.1 1.3 2.85 3.1 2.6
1.2 1.3 1.1 1.2 0.6 clarinet_trombone clarinet worm 1.3 0.64 1.25 1.3 1.2
1.1 1.2 1 1.3 0.64 clarinet_trombone clarinet dress 1.1 0.3 1.2 1.3 1.1
1 1 1 1.2 0.6 clarinet_trombone clarinet pine 1.3 0.64 1.25 1.3 1.2
1.55 1.6 1.5 1.6 1.02 corkscrew_grater corkscrew machete 1.5 0.806 1.55 1.6 1.5
1.25 1.4 1.1 2.5 1.432 corkscrew_grater corkscrew hook 1.3 0.64 1.9 2.5 1.3
1.15 1.2 1.1 1.2 0.6 corkscrew_grater corkscrew crane 1 0 1.1 1.2 1
1.25 1.3 1.2 1.2 0.4 corkscrew_grater corkscrew rocket 1 0 1.1 1.2 1
1.15 1.2 1.1 1.2 0.6 corkscrew_grater corkscrew bookcase 1.5 0.922 1.35 1.5 1.2
1.1 1.1 1.1 1.6 1.281 corkscrew_grater corkscrew pickle 1.2 0.4 1.4 1.6 1.2
