TRIAL	NONCE	IMAGE_PROBE_URL	PASSAGE	RESPONSE	VARIANCE	PASSAGE_LENGTH	IMAGE_QUALITY	CHIMERA	WORD_COUNT	INFORMATIVENESS_CHIMERA	INFORMATIVENESS_CHIMERA_A	INFORMATIVENESS_CHIMERA_B
100_L6_F	ackeam	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buggy.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed ACKEAM in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable ACKEAM.  @@ We 're getting food like ACKEAM beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell ACKEAM in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of ACKEAM so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts ACKEAMS on the same spot. 	3.43	1.178	6	F	corn_yam	112	0	0	0
101_L2_A	gewbon	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one GEWBONS.  @@ Add the carrots, GEWBON and water and cook gently until the vegetables are tender. 	2.57	1.498	2	A	cucumber_celery	33	0.479	0.419	0.539
101_L2_B	crish	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one CRISHES.  @@ Add the carrots, CRISH and water and cook gently until the vegetables are tender. 	2	1.604	2	B	cucumber_celery	33	0.32	0.327	0.313
101_L2_C	debim	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one DEBIMS.  @@ Add the carrots, DEBIM and water and cook gently until the vegetables are tender. 	2.86	1.552	2	C	cucumber_celery	33	0.2505	0.21	0.291
101_L2_D	squaight	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one SQUAIGHTS.  @@ Add the carrots, SQUAIGHT and water and cook gently until the vegetables are tender. 	2.43	1.294	2	D	cucumber_celery	33	0.128	0.205	0.051
101_L2_E	zeasot	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one ZEASOTS.  @@ Add the carrots, ZEASOT and water and cook gently until the vegetables are tender. 	2	1.195	2	E	cucumber_celery	33	0.0775	0.103	0.052
101_L2_F	cleng	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one CLENGS.  @@ Add the carrots, CLENG and water and cook gently until the vegetables are tender. 	1	0	2	F	cucumber_celery	33	0	0	0
101_L4_A	kinfape	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one KINFAPES.  @@ Add the carrots, KINFAPE and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and KINFAPE salad.  @@ After all, there 's nothing particularly comforting about a cold stick of KINFAPE, is there? 	1.57	0.728	4	A	cucumber_celery	70	0.479	0.419	0.539
101_L4_B	swant	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one SWANTS.  @@ Add the carrots, SWANT and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and SWANT salad.  @@ After all, there 's nothing particularly comforting about a cold stick of SWANT, is there? 	3	1.195	4	B	cucumber_celery	70	0.32	0.327	0.313
101_L4_C	troomle	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one TROOMLES.  @@ Add the carrots, TROOMLE and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and TROOMLE salad.  @@ After all, there 's nothing particularly comforting about a cold stick of TROOMLE, is there? 	3.14	1.245	4	C	cucumber_celery	70	0.2505	0.21	0.291
101_L4_D	spandow	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one SPANDOWS.  @@ Add the carrots, SPANDOW and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and SPANDOW salad.  @@ After all, there 's nothing particularly comforting about a cold stick of SPANDOW, is there? 	3	0.926	4	D	cucumber_celery	70	0.128	0.205	0.051
101_L4_E	zoulot	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one ZOULOTS.  @@ Add the carrots, ZOULOT and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and ZOULOT salad.  @@ After all, there 's nothing particularly comforting about a cold stick of ZOULOT, is there? 	2.43	1.678	4	E	cucumber_celery	70	0.0775	0.103	0.052
101_L4_F	blorpio	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one BLORPIOS.  @@ Add the carrots, BLORPIO and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and BLORPIO salad.  @@ After all, there 's nothing particularly comforting about a cold stick of BLORPIO, is there? 	1.57	0.728	4	F	cucumber_celery	70	0	0	0
101_L6_A	troult	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one TROULTS.  @@ Add the carrots, TROULT and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and TROULT salad.  @@ After all, there 's nothing particularly comforting about a cold stick of TROULT, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, TROULT, radishes and spring onions.  @@ Add the onion, garlic, carrot, TROULT and leek and cook for 2 minutes. 	3.86	1.355	6	A	cucumber_celery	107	0.479	0.419	0.539
101_L6_B	goolane	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one GOOLANES.  @@ Add the carrots, GOOLANE and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and GOOLANE salad.  @@ After all, there 's nothing particularly comforting about a cold stick of GOOLANE, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, GOOLANE, radishes and spring onions.  @@ Add the onion, garlic, carrot, GOOLANE and leek and cook for 2 minutes. 	2.57	1.178	6	B	cucumber_celery	107	0.32	0.327	0.313
101_L6_C	scoom	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one SCOOMS.  @@ Add the carrots, SCOOM and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and SCOOM salad.  @@ After all, there 's nothing particularly comforting about a cold stick of SCOOM, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, SCOOM, radishes and spring onions.  @@ Add the onion, garlic, carrot, SCOOM and leek and cook for 2 minutes. 	2.29	1.385	6	C	cucumber_celery	107	0.2505	0.21	0.291
101_L6_D	xennild	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one XENNILDS.  @@ Add the carrots, XENNILD and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and XENNILD salad.  @@ After all, there 's nothing particularly comforting about a cold stick of XENNILD, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, XENNILD, radishes and spring onions.  @@ Add the onion, garlic, carrot, XENNILD and leek and cook for 2 minutes. 	3	1.512	6	D	cucumber_celery	107	0.128	0.205	0.051
101_L6_E	vavella	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one VAVELLAS.  @@ Add the carrots, VAVELLA and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and VAVELLA salad.  @@ After all, there 's nothing particularly comforting about a cold stick of VAVELLA, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, VAVELLA, radishes and spring onions.  @@ Add the onion, garlic, carrot, VAVELLA and leek and cook for 2 minutes. 	1	0	6	E	cucumber_celery	107	0.0775	0.103	0.052
101_L6_F	woislood	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	The book is dated 1707 and contains numerous recipes for vegetables, including one WOISLOODS.  @@ Add the carrots, WOISLOOD and water and cook gently until the vegetables are tender.  @@ Make a small bed of salad on each plate, then top with the gravadlax and WOISLOOD salad.  @@ After all, there 's nothing particularly comforting about a cold stick of WOISLOOD, is there?  @@ Arrange the lettuce leaves over a large serving platter with the tomatoes, WOISLOOD, radishes and spring onions.  @@ Add the onion, garlic, carrot, WOISLOOD and leek and cook for 2 minutes. 	1.86	1.125	6	F	cucumber_celery	107	0	0	0
102_L2_A	ploff	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, PLOFF and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of PLOFF with the other veg. 	1.86	1.355	2	A	cucumber_celery	43	0.479	0.419	0.539
102_L2_B	agail	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, AGAIL and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of AGAIL with the other veg. 	3.14	1.245	2	B	cucumber_celery	43	0.32	0.327	0.313
102_L2_C	buggle	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, BUGGLE and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of BUGGLE with the other veg. 	2.43	1.05	2	C	cucumber_celery	43	0.2505	0.21	0.291
102_L2_D	creer	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, CREER and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of CREER with the other veg. 	2.57	1.294	2	D	cucumber_celery	43	0.128	0.205	0.051
102_L2_E	agail	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, AGAIL and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of AGAIL with the other veg. 	1.29	0.452	2	E	cucumber_celery	43	0.0775	0.103	0.052
102_L2_F	ganilla	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, GANILLA and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of GANILLA with the other veg. 	1.71	1.161	2	F	cucumber_celery	43	0	0	0
102_L4_A	kagru	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, KAGRU and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of KAGRU with the other veg.  @@ 2. Cut the KAGRU into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining KAGRU and wine and simmer for 1 minute. 	3.43	1.591	4	A	cucumber_celery	79	0.479	0.419	0.539
102_L4_B	lalibot	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, LALIBOT and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of LALIBOT with the other veg.  @@ 2. Cut the LALIBOT into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining LALIBOT and wine and simmer for 1 minute. 	2.29	1.385	4	B	cucumber_celery	79	0.32	0.327	0.313
102_L4_C	spivin	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, SPIVIN and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of SPIVIN with the other veg.  @@ 2. Cut the SPIVIN into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining SPIVIN and wine and simmer for 1 minute. 	3.14	1.355	4	C	cucumber_celery	79	0.2505	0.21	0.291
102_L4_D	lalibot	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, LALIBOT and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of LALIBOT with the other veg.  @@ 2. Cut the LALIBOT into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining LALIBOT and wine and simmer for 1 minute. 	3	1.069	4	D	cucumber_celery	79	0.128	0.205	0.051
102_L4_E	durch	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, DURCH and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of DURCH with the other veg.  @@ 2. Cut the DURCH into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining DURCH and wine and simmer for 1 minute. 	1	0	4	E	cucumber_celery	79	0.0775	0.103	0.052
102_L4_F	crench	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, CRENCH and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of CRENCH with the other veg.  @@ 2. Cut the CRENCH into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining CRENCH and wine and simmer for 1 minute. 	2.14	1.125	4	F	cucumber_celery	79	0	0	0
102_L6_A	proice	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, PROICE and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of PROICE with the other veg.  @@ 2. Cut the PROICE into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining PROICE and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of PROICE peel for whiskers and small pieces of olive for eyes.  @@ PROICE sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	1.86	1.125	6	A	cucumber_celery	125	0.479	0.419	0.539
102_L6_B	drimak	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/onion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, DRIMAK and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of DRIMAK with the other veg.  @@ 2. Cut the DRIMAK into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining DRIMAK and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of DRIMAK peel for whiskers and small pieces of olive for eyes.  @@ DRIMAK sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	2	1.195	6	B	cucumber_celery	125	0.32	0.327	0.313
102_L6_C	distirth	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/pear.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, DISTIRTH and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of DISTIRTH with the other veg.  @@ 2. Cut the DISTIRTH into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining DISTIRTH and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of DISTIRTH peel for whiskers and small pieces of olive for eyes.  @@ DISTIRTH sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	3.71	1.278	6	C	cucumber_celery	125	0.2505	0.21	0.291
102_L6_D	bonhomoo	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/strawberry.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, BONHOMOO and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of BONHOMOO with the other veg.  @@ 2. Cut the BONHOMOO into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining BONHOMOO and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of BONHOMOO peel for whiskers and small pieces of olive for eyes.  @@ BONHOMOO sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	1.86	0.833	6	D	cucumber_celery	125	0.128	0.205	0.051
102_L6_E	lokanon	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/limousine.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, LOKANON and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of LOKANON with the other veg.  @@ 2. Cut the LOKANON into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining LOKANON and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of LOKANON peel for whiskers and small pieces of olive for eyes.  @@ LOKANON sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	1.57	0.904	6	E	cucumber_celery	125	0.0775	0.103	0.052
102_L6_F	durch	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/cushion.jpg	LUNCH: 4 crispbread, 50g (2oz) low fat liver pâté, sliced tomato, DURCH and lettuce; 1 apple.  @@ Right then, a couple of things: Add a chopped stick of DURCH with the other veg.  @@ 2. Cut the DURCH into quarters lengthways and scoop out the seeds by running a teaspoon along the centre.  @@ Add the chicken, pasta, remaining DURCH and wine and simmer for 1 minute.  @@ For rabbits, use red pimento for ears, strips of DURCH peel for whiskers and small pieces of olive for eyes.  @@ DURCH sticks, radishes, carrot sticks and baby tomatoes are all popular with children, especially if they are well presented. 	1.71	0.7	6	F	cucumber_celery	125	0	0	0
103_L2_A	awthan	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/rhubarb.jpg	Canned sardines and AWTHAN between two slices of wholemeal bread and thinly spread Flora Original.  @@ Erm, AWTHAN, low fat dairy products, incidents of heart disease for those who have an olive oil rich diet. 	3	1.309	2	A	cucumber_celery	39	0.479	0.419	0.539
